size,kernel,gflops,pct_cublas,verify
256,cuBlAS,333.4,100.0,ref
256,naive,442.0,132.6,pass
256,tiled,787.0,236.0,pass
256,register-tiled,603.8,181.1,pass
256,vectorized,549.9,164.9,pass
256,cuBLAS-fp16,1399.1,100.0,ref
256,wmma,1557.9,111.4,Pass
512,cuBlAS,4071.1,100.0,ref
512,naive,1473.4,36.2,pass
512,tiled,1951.5,47.9,pass
512,register-tiled,3759.0,92.3,pass
512,vectorized,3427.9,84.2,pass
512,cuBLAS-fp16,5139.4,100.0,ref
512,wmma,4778.3,93.0,Pass
1024,cuBlAS,13570.2,100.0,ref
1024,naive,1505.9,11.1,pass
1024,tiled,2063.1,15.2,pass
1024,register-tiled,6385.5,47.1,pass
1024,vectorized,10334.2,76.2,pass
1024,cuBLAS-fp16,40060.2,100.0,ref
1024,wmma,8370.4,20.9,Pass
4096,cuBlAS,14810.4,100.0,ref
4096,naive,1290.4,8.7,pass
4096,tiled,1771.8,12.0,pass
4096,register-tiled,4695.7,31.7,pass
4096,vectorized,10170.1,68.7,pass
4096,cuBLAS-fp16,41298.1,100.0,ref
4096,wmma,10422.4,25.2,Pass
